date_published;n
2018-01-04;5
2018-01-05;1
2018-01-08;3
2018-01-09;3
2018-01-10;5
2018-01-11;2
2018-01-12;1
2018-01-13;1
2018-01-15;3
2018-01-16;2
2018-01-17;4
2018-01-18;4
2018-01-20;1
2018-01-21;1
2018-01-22;3
2018-01-23;2
2018-01-24;3
2018-01-25;1
2018-01-26;2
2018-01-28;1
2018-01-29;3
2018-01-30;3
2018-02-01;4
2018-02-02;3
2018-02-04;1
2018-02-05;2
2018-02-06;4
2018-02-07;6
2018-02-08;2
2018-02-11;2
2018-02-12;2
2018-02-13;5
2018-02-14;1
2018-02-15;4
2018-02-16;1
2018-02-18;1
2018-02-19;4
2018-02-20;5
2018-02-21;2
2018-02-22;3
2018-02-25;1
2018-02-26;1
2018-02-27;5
2018-03-01;3
2018-03-02;2
2018-03-03;1
2018-03-04;2
2018-03-05;3
2018-03-06;1
2018-03-07;1
2018-03-08;1
2018-03-10;1
2018-03-11;1
2018-03-12;5
2018-03-13;1
2018-03-14;4
2018-03-15;2
2018-03-16;1
2018-03-18;2
2018-03-19;3
2018-03-20;3
2018-03-21;7
2018-03-22;2
2018-03-23;5
2018-03-24;1
2018-03-25;1
2018-03-26;2
2018-03-27;3
2018-03-28;3
2018-03-29;4
2018-03-30;2
2018-04-01;2
2018-04-02;3
2018-04-03;2
2018-04-04;3
2018-04-05;5
2018-04-06;2
2018-04-07;1
2018-04-09;3
2018-04-10;1
2018-04-11;4
2018-04-12;1
2018-04-13;4
2018-04-14;1
2018-04-15;1
2018-04-16;3
2018-04-17;3
2018-04-18;4
2018-04-19;2
2018-04-20;1
2018-04-21;2
2018-04-22;1
2018-04-23;3
2018-04-25;6
2018-04-26;3
2018-04-27;2
2018-04-28;1
2018-05-01;2
2018-05-02;6
2018-05-03;1
2018-05-04;4
2018-05-07;4
2018-05-09;3
2018-05-10;1
2018-05-11;3
2018-05-12;1
2018-05-13;1
2018-05-14;4
2018-05-16;2
2018-05-17;4
2018-05-18;3
2018-05-19;1
2018-05-20;2
2018-05-21;4
2018-05-22;3
2018-05-23;3
2018-05-24;3
2018-05-27;1
2018-05-28;3
2018-05-29;4
2018-05-30;6
2018-06-01;4
2018-06-02;2
2018-06-03;3
2018-06-04;4
2018-06-05;1
2018-06-06;4
2018-06-07;3
2018-06-08;4
2018-06-09;2
2018-06-11;4
2018-06-12;4
2018-06-13;3
2018-06-14;6
2018-06-15;3
2018-06-17;3
2018-06-18;2
2018-06-19;2
2018-06-20;1
2018-06-21;1
2018-06-22;2
2018-06-23;1
2018-06-25;4
2018-06-26;3
2018-06-27;3
2018-06-28;4
2018-06-29;4
2018-07-02;3
2018-07-03;1
2018-07-04;1
2018-07-05;3
2018-07-06;5
2018-07-07;1
2018-07-08;1
2018-07-09;5
2018-07-11;2
2018-07-12;5
2018-07-13;1
2018-07-14;2
2018-07-16;5
2018-07-17;3
2018-07-18;1
2018-07-20;3
2018-07-21;1
2018-07-22;2
2018-07-23;3
2018-07-24;6
2018-07-25;2
2018-07-26;3
2018-07-27;5
2018-07-28;3
2018-07-29;2
2018-07-30;4
2018-08-01;6
2018-08-02;7
2018-08-03;3
2018-08-04;1
2018-08-05;1
2018-08-06;5
2018-08-07;5
2018-08-08;4
2018-08-09;5
2018-08-10;2
2018-08-11;1
2018-08-12;1
2018-08-13;8
2018-08-14;4
2018-08-15;6
2018-08-16;2
2018-08-17;4
2018-08-19;2
2018-08-20;6
2018-08-21;4
2018-08-22;1
2018-08-23;1
2018-08-24;2
2018-08-26;5
2018-08-27;6
2018-08-28;2
2018-08-29;9
2018-08-30;3
2018-09-01;2
2018-09-02;3
2018-09-03;4
2018-09-04;2
2018-09-05;5
2018-09-06;2
2018-09-07;4
2018-09-08;1
2018-09-09;3
2018-09-10;8
2018-09-11;7
2018-09-12;9
2018-09-13;6
2018-09-14;4
2018-09-15;2
2018-09-16;2
2018-09-17;3
2018-09-18;5
2018-09-19;1
2018-09-20;8
2018-09-21;3
2018-09-22;2
2018-09-23;2
2018-09-24;7
2018-09-25;5
2018-09-26;5
2018-09-27;2
2018-09-28;2
2018-10-01;4
2018-10-02;3
2018-10-03;7
2018-10-04;3
2018-10-05;8
2018-10-06;2
2018-10-07;1
2018-10-08;18
2018-10-09;15
2018-10-10;13
2018-10-11;7
2018-10-12;9
2018-10-13;4
2018-10-14;4
2018-10-15;13
2018-10-16;2
2018-10-17;5
2018-10-18;4
2018-10-19;6
2018-10-21;6
2018-10-22;1
2018-10-23;6
2018-10-24;7
2018-10-25;3
2018-10-26;5
2018-10-28;1
2018-10-29;3
2018-10-30;7
2018-11-01;5
2018-11-02;2
2018-11-04;2
2018-11-05;2
2018-11-07;4
2018-11-09;2
2018-11-11;2
2018-11-12;3
2018-11-13;5
2018-11-14;12
2018-11-15;9
2018-11-16;5
2018-11-17;4
2018-11-18;1
2018-11-19;4
2018-11-20;4
2018-11-21;5
2018-11-22;7
2018-11-23;7
2018-11-24;3
2018-11-26;10
2018-11-27;9
2018-11-28;9
2018-11-29;11
2018-12-01;3
2018-12-02;1
2018-12-03;12
2018-12-04;6
2018-12-05;11
2018-12-06;4
2018-12-07;4
2018-12-08;7
2018-12-09;6
2018-12-10;8
2018-12-11;7
2018-12-12;9
2018-12-13;8
2018-12-14;7
2018-12-15;3
2018-12-16;8
2018-12-17;5
2018-12-18;3
2018-12-19;4
2018-12-20;6
2018-12-21;7
2018-12-22;2
2018-12-23;1
2018-12-24;2
2018-12-25;1
2018-12-26;1
2018-12-27;1
2018-12-28;3
2018-12-29;2
2018-12-30;3
2019-01-01;2
2019-01-02;3
2019-01-03;2
2019-01-04;1
2019-01-06;3
2019-01-07;3
2019-01-08;2
2019-01-09;3
2019-01-10;2
2019-01-11;2
2019-01-14;5
2019-01-15;4
2019-01-16;7
2019-01-17;1
2019-01-18;5
2019-01-19;5
2019-01-20;1
2019-01-21;5
2019-01-22;11
2019-01-23;2
2019-01-24;8
2019-01-25;7
2019-01-27;2
2019-01-28;6
2019-01-29;8
2019-01-30;6
2019-02-01;8
2019-02-02;1
2019-02-03;5
2019-02-04;3
2019-02-05;5
2019-02-06;8
2019-02-07;7
2019-02-08;4
2019-02-09;3
2019-02-10;5
2019-02-11;5
2019-02-12;7
2019-02-13;6
2019-02-14;4
2019-02-15;14
2019-02-17;4
2019-02-18;4
2019-02-19;5
2019-02-20;9
2019-02-21;9
2019-02-22;5
2019-02-23;1
2019-02-24;5
2019-02-25;12
2019-02-26;9
2019-02-27;4
2019-03-01;5
2019-03-02;2
2019-03-03;2
2019-03-04;12
2019-03-05;4
2019-03-06;2
2019-03-07;2
2019-03-08;8
2019-03-10;2
2019-03-11;7
2019-03-12;10
2019-03-13;10
2019-03-14;12
2019-03-15;23
2019-03-16;3
2019-03-17;4
2019-03-18;9
2019-03-19;10
2019-03-20;6
2019-03-21;8
2019-03-22;7
2019-03-24;4
2019-03-25;2
2019-03-26;3
2019-03-27;5
2019-03-28;5
2019-03-29;4
2019-03-30;5
2019-04-01;9
2019-04-02;5
2019-04-03;10
2019-04-04;4
2019-04-05;5
2019-04-06;1
2019-04-08;3
2019-04-09;6
2019-04-10;6
2019-04-11;3
2019-04-12;7
2019-04-13;4
2019-04-14;5
2019-04-15;8
2019-04-16;9
2019-04-17;17
2019-04-18;11
2019-04-19;10
2019-04-20;4
2019-04-21;7
2019-04-22;12
2019-04-23;19
2019-04-24;5
2019-04-25;6
