date,topic,sum_probability
2017-04-18,8,0.19298206860128667
2017-04-18,9,0.21253837734545603
2017-04-18,10,0.15905666764747434
2017-04-19,1,0.2614829768144685
2017-04-19,2,0.0013186475893658216
2017-04-19,3,0.11137909052273694
2017-04-19,4,0.0978974831184776
2017-04-19,5,0.00960594040704538
2017-04-19,6,3.9783727629031496e-4
2017-04-19,7,0.14864829768144686
2017-04-19,8,3.9783727629031496e-4
2017-04-19,9,0.2665120177551117
2017-04-19,10,0.1023598715587666
2017-04-20,1,0.19060977262353074
2017-04-20,2,0.013099930103845716
2017-04-20,3,0.0424705794248545
2017-04-20,4,0.013099930103845716
2017-04-20,5,0.09915065474152686
2017-04-20,6,0.0926289156110921
2017-04-20,7,0.04747493010384571
2017-04-20,8,0.2970156125185439
2017-04-20,9,0.022942449788885086
2017-04-20,10,0.18150722498002966
2017-04-21,1,0.4673652694610778
2017-04-21,2,0.10209580838323354
2017-04-21,3,2.994011976047904e-4
2017-04-21,4,0.15
2017-04-21,5,2.994011976047904e-4
2017-04-21,6,0.01526946107784431
2017-04-21,7,0.11407185628742515
2017-04-21,8,2.994011976047904e-4
2017-04-21,9,0.04820359281437126
2017-04-21,10,0.10209580838323354
2017-04-22,1,0.0837993312177449
2017-04-22,2,0.14003672849951487
2017-04-22,3,0.036898941789339015
2017-04-22,4,0.04647839684483902
2017-04-22,5,0.026952885114376695
2017-04-22,6,0.10341253339685573
2017-04-22,7,0.033435670223550186
2017-04-22,8,0.17448003485809854
2017-04-22,9,0.14939027800520094
2017-04-22,10,0.2051152000504801
2017-04-23,1,0.01637393253683556
2017-04-23,2,0.2362804753648873
2017-04-23,3,0.04075676220480026
2017-04-23,4,0.01196164198522746
2017-04-23,5,1.9943171136753416e-4
2017-04-23,6,0.059719525232232236
2017-04-23,7,0.07512637910981217
2017-04-23,8,0.03160359118647556
2017-04-23,9,0.29871515919356617
2017-04-23,10,0.22926310147479573
2017-04-24,1,0.07605648370254867
2017-04-24,2,0.012418573076460483
2017-04-24,3,0.04579151994601952
2017-04-24,4,0.07276661559703308
2017-04-24,5,2.7523370254867424e-4
2017-04-24,6,0.12261542638690454
2017-04-24,7,0.05578554243669343
2017-04-24,8,0.0374454974915175
2017-04-24,9,0.2500591609579302
2017-04-24,10,0.3267859467023439
2017-04-25,1,0.01808694767617096
2017-04-25,2,0.048279430938495974
2017-04-25,3,0.17320335059765604
2017-04-25,4,0.08406381925255561
2017-04-25,5,0.050934634833809424
2017-04-25,6,0.11928325634553795
2017-04-25,7,0.0744929123748928
2017-04-25,8,0.15445496700106368
2017-04-25,9,0.20471229113151154
2017-04-25,10,0.07248838984830601
2017-04-26,1,6.024096385542169e-4
2017-04-26,2,0.21144578313253012
2017-04-26,3,0.7716867469879518
2017-04-26,4,6.024096385542169e-4
2017-04-26,5,6.024096385542169e-4
2017-04-26,6,0.012650602409638554
2017-04-26,7,6.024096385542169e-4
2017-04-26,8,6.024096385542169e-4
2017-04-26,9,6.024096385542169e-4
2017-04-26,10,6.024096385542169e-4
2017-04-27,1,0.0992987773722826
2017-04-27,2,0.14056590644156663
2017-04-27,3,0.0016163427565396408
2017-04-27,4,2.93591433788318e-4
